Geneid	HS18	HS19
ENSG00000065665	365	449
ENSG00000065675	19	53
ENSG00000065717	1072	1950
ENSG00000065802	2140	2441
ENSG00000065809	223	473
ENSG00000065833	1090	1440
ENSG00000065882	3054	3445
ENSG00000065883	2215	3591
ENSG00000065911	265	451
ENSG00000065923	460	901
ENSG00000065970	1302	1651
ENSG00000065978	8475	10150
ENSG00000065989	242	406
ENSG00000066027	1612	2109
ENSG00000066032	2	13
ENSG00000066044	935	1227
ENSG00000066056	1381	2992
ENSG00000066084	1576	2098
ENSG00000066117	585	783
ENSG00000066135	388	624
ENSG00000066136	1643	1853
ENSG00000066185	38	41
ENSG00000066230	76	36
ENSG00000066248	15	40
ENSG00000066279	95	48
ENSG00000066294	183	538
ENSG00000066322	616	694
ENSG00000066336	91	194
ENSG00000066379	1	0
ENSG00000066382	101	218
ENSG00000066405	83	140
ENSG00000066422	599	973
ENSG00000066427	723	1321
ENSG00000066455	822	1069
ENSG00000066468	58	399
ENSG00000066557	275	426
ENSG00000066583	942	1183
ENSG00000066629	1076	1777
ENSG00000066651	474	750
ENSG00000066654	884	1713
ENSG00000066697	263	251
ENSG00000066735	460	1007
ENSG00000066739	2130	3090
ENSG00000066777	2718	3598
ENSG00000066813	0	9
ENSG00000066827	320	545
ENSG00000066855	587	612
ENSG00000066923	105	209
ENSG00000066926	686	1180
ENSG00000066933	2942	5104
ENSG00000067048	2	1
ENSG00000067057	4161	3435
ENSG00000067064	724	586
ENSG00000067066	1708	2897
ENSG00000067082	2000	2515
ENSG00000067113	1136	1530
ENSG00000067141	990	2055
ENSG00000067167	1173	1896
ENSG00000067177	523	841
ENSG00000067182	676	1450
ENSG00000067191	160	147
ENSG00000067208	1844	2133
ENSG00000067221	368	414
ENSG00000067225	18555	19636
ENSG00000067248	1054	1288
ENSG00000067334	877	1223
ENSG00000067365	442	818
ENSG00000067369	2877	3222
ENSG00000067445	351	522
ENSG00000067533	479	694
ENSG00000067560	1711	2555
ENSG00000067596	1231	1627
