Geneid	HS20	HS21
ENSG00000066135	464	487
ENSG00000066136	1656	1939
ENSG00000066185	47	40
ENSG00000066230	26	33
ENSG00000066248	18	104
ENSG00000066279	104	36
ENSG00000066294	163	254
ENSG00000066322	484	577
ENSG00000066336	84	134
ENSG00000066379	0	0
ENSG00000066382	159	182
ENSG00000066405	83	108
ENSG00000066422	658	874
ENSG00000066427	816	1039
ENSG00000066455	936	956
ENSG00000066468	88	399
ENSG00000066557	300	374
ENSG00000066583	1206	1657
ENSG00000066629	1304	1675
ENSG00000066651	504	667
ENSG00000066654	1085	1409
ENSG00000066697	241	293
ENSG00000066735	596	819
ENSG00000066739	2329	2641
ENSG00000066777	2720	3175
ENSG00000066813	0	0
ENSG00000066827	355	500
ENSG00000066855	436	472
ENSG00000066923	171	140
ENSG00000066926	865	981
ENSG00000066933	3256	4542
ENSG00000067048	1750	1
ENSG00000067057	2565	3122
ENSG00000067064	371	474
ENSG00000067066	1983	2578
ENSG00000067082	1964	1847
ENSG00000067113	1202	1311
ENSG00000067141	1276	1743
ENSG00000067167	1388	1626
ENSG00000067177	715	950
ENSG00000067182	841	1137
ENSG00000067191	136	175
ENSG00000067208	2079	2397
ENSG00000067221	435	451
ENSG00000067225	19191	21113
ENSG00000067248	1090	1266
ENSG00000067334	920	1155
ENSG00000067365	478	660
ENSG00000067369	2819	3022
ENSG00000067445	333	493
ENSG00000067533	614	868
ENSG00000067560	1789	2151
ENSG00000067596	1182	1377
ENSG00000067601	0	0
